area,avg_size,cars_per_apartment,cars_per_house,median_age_males,median_females,median_income,median_rent,mf_pop,never_married_females_over_15,never_married_males_over_15,percent_born_in _state,percent_born_in_other_state,percent_do_not_speak_english_well,percent_foreign_born,percent_married,percent_mortgage,percent_single_mothers,population
Area: 0.383 square miles,Average household size:Bechtold Heights:2.5 peopleDes Moines:2.5 people,Here:1.2city:1.3,This neighborhood:2.1Des Moines:2.0,Median age:Males:This neighborhood:36.5 yearsWhole city:33.1 years,Females:This neighborhood:41.2 yearsWhole city:35.7 years,"Bechtold Heights:$66,482Des Moines:$49,203",Bechtold Heights:$605Des Moines:$690,Males:422Females:346,Bechtold Heights:8.9%city:18.9%,Bechtold Heights:16.2%Des Moines:21.7%,Here:81.1%Des Moines:66.5%,Bechtold Heights:14.7%Des Moines:20.3%,Bechtold Heights:0.0%Des Moines:4.7%,Here:0.4%city:1.0%,Here:54.8%Des Moines:36.2%,Bechtold Heights:66.0%Des Moines:69.8%,Bechtold Heights:4.9%Des Moines:13.8%,Population: 768
Area: 0.010 square miles,,,,,,,,,,,,,,,,,,
Area: 0.095 square miles,Average household size:Bel Aire:2.3 peopleDes Moines:2.5 people,Here:13.1city:1.3,This neighborhood:1.0Des Moines:2.0,Median age:Males:This neighborhood:51.0 yearsWhole city:33.1 years,Females:This neighborhood:49.2 yearsWhole city:35.7 years,"Bel Aire:$47,479Des Moines:$49,203",Bel Aire:$789Des Moines:$690,Males:62Females:84,Bel Aire:9.8%city:18.9%,Bel Aire:17.6%Des Moines:21.7%,Here:63.0%Des Moines:66.5%,Bel Aire:23.6%Des Moines:20.3%,Bel Aire:15.4%Des Moines:4.7%,Here:0.0%city:1.0%,Here:60.2%Des Moines:36.2%,Bel Aire:64.2%Des Moines:69.8%,Bel Aire:6.5%Des Moines:13.8%,Population: 147
Area: 0.028 square miles,Average household size:Belnor Heights:2.4 peopleDes Moines:2.5 people,Here:1.1city:1.3,This neighborhood:1.8Des Moines:2.0,Median age:Males:This neighborhood:32.9 yearsWhole city:33.1 years,Females:This neighborhood:40.2 yearsWhole city:35.7 years,"Belnor Heights:$37,583Des Moines:$49,203",Belnor Heights:$641Des Moines:$690,Males:46Females:76,Belnor Heights:23.6%city:18.9%,Belnor Heights:15.2%Des Moines:21.7%,Here:67.9%Des Moines:66.5%,Belnor Heights:22.3%Des Moines:20.3%,Belnor Heights:0.8%Des Moines:4.7%,Here:0.1%city:1.0%,Here:18.1%Des Moines:36.2%,Belnor Heights:80.7%Des Moines:69.8%,Belnor Heights:26.8%Des Moines:13.8%,Population: 123
Area: 0.070 square miles,Average household size:Berwick Heights:2.5 peopleDes Moines:2.5 people,Here:1.2city:1.3,This neighborhood:2.1Des Moines:2.0,Median age:Males:This neighborhood:36.5 yearsWhole city:33.1 years,Females:This neighborhood:41.2 yearsWhole city:35.7 years,"Berwick Heights:$66,482Des Moines:$49,203",Berwick Heights:$605Des Moines:$690,Males:1Females:0,Berwick Heights:8.9%city:18.9%,Berwick Heights:16.2%Des Moines:21.7%,Here:81.1%Des Moines:66.5%,Berwick Heights:14.7%Des Moines:20.3%,Berwick Heights:0.0%Des Moines:4.7%,Here:0.4%city:1.0%,Here:54.8%Des Moines:36.2%,Berwick Heights:66.0%Des Moines:69.8%,Berwick Heights:5.0%Des Moines:13.8%,Population: 2
Area: 0.016 square miles,Average household size:Bethany Heights:2.5 peopleDes Moines:2.5 people,Here:1.2city:1.3,This neighborhood:2.1Des Moines:2.0,Median age:Males:This neighborhood:34.8 yearsWhole city:33.1 years,Females:This neighborhood:39.5 yearsWhole city:35.7 years,"Bethany Heights:$59,516Des Moines:$49,203",Bethany Heights:$640Des Moines:$690,Males:11Females:5,Bethany Heights:9.4%city:18.9%,Bethany Heights:30.8%Des Moines:21.7%,Here:78.2%Des Moines:66.5%,Bethany Heights:16.5%Des Moines:20.3%,Bethany Heights:0.0%Des Moines:4.7%,Here:0.4%city:1.0%,Here:58.8%Des Moines:36.2%,Bethany Heights:76.1%Des Moines:69.8%,Bethany Heights:1.4%Des Moines:13.8%,Population: 16
Area: 0.020 square miles,Average household size:Bethel Heights:2.5 peopleDes Moines:2.5 people,Here:1.5city:1.3,This neighborhood:2.0Des Moines:2.0,Median age:Males:This neighborhood:37.4 yearsWhole city:33.1 years,Females:This neighborhood:47.7 yearsWhole city:35.7 years,"Bethel Heights:$47,574Des Moines:$49,203",Bethel Heights:$643Des Moines:$690,Males:1Females:1,Bethel Heights:7.5%city:18.9%,Bethel Heights:13.9%Des Moines:21.7%,Here:77.1%Des Moines:66.5%,Bethel Heights:13.1%Des Moines:20.3%,Bethel Heights:0.0%Des Moines:4.7%,Here:0.5%city:1.0%,Here:43.9%Des Moines:36.2%,Bethel Heights:72.8%Des Moines:69.8%,Bethel Heights:24.1%Des Moines:13.8%,Population: 3
Area: 0.194 square miles,Average household size:Beverly Hills:11.2 peopleWest Des Moines:2.3 people,Here:3.0city:1.4,This neighborhood:1.2West Des Moines:2.0,Median age:Males:This neighborhood:34.2 yearsWhole city:34.3 years,Females:This neighborhood:41.7 yearsWhole city:34.7 years,"Beverly Hills:$71,582West Des Moines:$70,906",Beverly Hills:$829West Des Moines:$843,Males:577Females:554,Beverly Hills:10.0%city:15.2%,Beverly Hills:7.9%West Des Moines:15.5%,Here:68.1%West Des Moines:64.2%,Beverly Hills:22.0%West Des Moines:24.4%,Beverly Hills:6.2%West Des Moines:1.8%,Here:0.1%city:0.8%,Here:71.4%West Des Moines:47.5%,Beverly Hills:66.6%West Des Moines:72.3%,Beverly Hills:3.2%West Des Moines:7.4%,"Population: 1,132"
Area: 0.052 square miles,,,,,,,,,,,,,,,,,,
Area: 0.124 square miles,Average household size:Bloomfield:2.7 peopleDes Moines:2.5 people,Here:2.2city:1.3,This neighborhood:1.3Des Moines:2.0,Median age:Males:This neighborhood:27.6 yearsWhole city:33.1 years,Females:This neighborhood:35.7 yearsWhole city:35.7 years,"Bloomfield:$53,503Des Moines:$49,203","Bloomfield:$1,028Des Moines:$690",Males:415Females:374,Bloomfield:19.7%city:18.9%,Bloomfield:18.5%Des Moines:21.7%,Here:78.3%Des Moines:66.5%,Bloomfield:18.6%Des Moines:20.3%,Bloomfield:0.0%Des Moines:4.7%,Here:0.8%city:1.0%,Here:34.1%Des Moines:36.2%,Bloomfield:65.6%Des Moines:69.8%,Bloomfield:23.2%Des Moines:13.8%,Population: 790
