area,avg_size,cars_per_apartment,cars_per_house,median_age_males,median_females,median_income,median_rent,mf_pop,never_married_females_over_15,never_married_males_over_15,percent_born_in _state,percent_born_in_other_state,percent_do_not_speak_english_well,percent_foreign_born,percent_married,percent_mortgage,percent_single_mothers,population
Area: 0.014 square miles,Average household size:Hillside Heights:2.3 peopleDes Moines:2.5 people,Here:1.6city:1.3,This neighborhood:2.0Des Moines:2.0,Median age:Males:This neighborhood:39.0 yearsWhole city:33.1 years,Females:This neighborhood:40.1 yearsWhole city:35.7 years,"Hillside Heights:$89,659Des Moines:$49,203",Hillside Heights:$685Des Moines:$690,Males:14Females:13,Hillside Heights:13.5%city:18.9%,Hillside Heights:11.5%Des Moines:21.7%,Here:72.3%Des Moines:66.5%,Hillside Heights:25.2%Des Moines:20.3%,Hillside Heights:0.0%Des Moines:4.7%,Here:0.9%city:1.0%,Here:55.0%Des Moines:36.2%,Hillside Heights:65.3%Des Moines:69.8%,Hillside Heights:9.1%Des Moines:13.8%,Population: 27
Area: 0.066 square miles,Average household size:Historic Valley Junction:1.4 peopleDes Moines:2.5 people,Here:0.9city:1.3,This neighborhood:1.7Des Moines:2.0,Median age:Males:This neighborhood:32.9 yearsWhole city:33.1 years,Females:This neighborhood:29.8 yearsWhole city:35.7 years,"Historic Valley Junction:$31,629Des Moines:$49,203",Historic Valley Junction:$686Des Moines:$690,Males:122Females:117,Historic Valley Junction:30.5%city:18.9%,Historic Valley Junction:30.1%Des Moines:21.7%,Here:44.4%Des Moines:66.5%,Historic Valley Junction:31.2%Des Moines:20.3%,Historic Valley Junction:7.9%Des Moines:4.7%,Here:3.4%city:1.0%,Here:9.6%Des Moines:36.2%,Historic Valley Junction:63.4%Des Moines:69.8%,Historic Valley Junction:192.7%Des Moines:13.8%,Population: 239
Area: 0.032 square miles,Average household size:Hollandale:2.0 peopleDes Moines:2.5 people,Here:1.1city:1.3,This neighborhood:1.8Des Moines:2.0,Median age:Males:This neighborhood:35.7 yearsWhole city:33.1 years,Females:This neighborhood:42.6 yearsWhole city:35.7 years,"Hollandale:$83,438Des Moines:$49,203",Hollandale:$919Des Moines:$690,Males:55Females:60,Hollandale:20.5%city:18.9%,Hollandale:19.0%Des Moines:21.7%,Here:60.8%Des Moines:66.5%,Hollandale:28.2%Des Moines:20.3%,Hollandale:2.7%Des Moines:4.7%,Here:1.3%city:1.0%,Here:38.8%Des Moines:36.2%,Hollandale:80.0%Des Moines:69.8%,Hollandale:10.4%Des Moines:13.8%,Population: 115
Area: 0.042 square miles,Average household size:Hollywood:2.4 peopleDes Moines:2.5 people,Here:1.2city:1.3,This neighborhood:2.0Des Moines:2.0,Median age:Males:This neighborhood:37.7 yearsWhole city:33.1 years,Females:This neighborhood:39.5 yearsWhole city:35.7 years,"Hollywood:$71,790Des Moines:$49,203",Hollywood:$781Des Moines:$690,Males:112Females:167,Hollywood:22.5%city:18.9%,Hollywood:9.7%Des Moines:21.7%,Here:72.4%Des Moines:66.5%,Hollywood:22.2%Des Moines:20.3%,Hollywood:0.0%Des Moines:4.7%,Here:0.4%city:1.0%,Here:41.1%Des Moines:36.2%,Hollywood:69.7%Des Moines:69.8%,Hollywood:10.4%Des Moines:13.8%,Population: 280
Area: 0.031 square miles,Average household size:Homestead Acres:2.5 peopleDes Moines:2.5 people,Here:1.5city:1.3,This neighborhood:2.1Des Moines:2.0,Median age:Males:This neighborhood:31.1 yearsWhole city:33.1 years,Females:This neighborhood:29.6 yearsWhole city:35.7 years,"Homestead Acres:$38,235Des Moines:$49,203",Homestead Acres:$615Des Moines:$690,Males:70Females:66,Homestead Acres:13.9%city:18.9%,Homestead Acres:27.5%Des Moines:21.7%,Here:61.9%Des Moines:66.5%,Homestead Acres:21.2%Des Moines:20.3%,Homestead Acres:4.8%Des Moines:4.7%,Here:0.1%city:1.0%,Here:39.7%Des Moines:36.2%,Homestead Acres:67.6%Des Moines:69.8%,Homestead Acres:14.9%Des Moines:13.8%,Population: 136
Area: 0.036 square miles,,,,,,,,,,,,,,,,,,
Area: 0.055 square miles,,,,,,,,,,,,,,,,,,
Area: 0.093 square miles,Average household size:Hydepark:2.7 peopleDes Moines:2.5 people,Here:2.1city:1.3,This neighborhood:1.7Des Moines:2.0,Median age:Males:This neighborhood:31.9 yearsWhole city:33.1 years,Females:This neighborhood:36.2 yearsWhole city:35.7 years,"Hydepark:$51,810Des Moines:$49,203",Hydepark:$760Des Moines:$690,Males:303Females:265,Hydepark:13.9%city:18.9%,Hydepark:19.5%Des Moines:21.7%,Here:74.7%Des Moines:66.5%,Hydepark:17.3%Des Moines:20.3%,Hydepark:2.5%Des Moines:4.7%,Here:0.6%city:1.0%,Here:46.0%Des Moines:36.2%,Hydepark:70.8%Des Moines:69.8%,Hydepark:3.4%Des Moines:13.8%,Population: 568
Area: 0.035 square miles,Average household size:Hyperion Park:2.2 peopleDes Moines:2.5 people,Here:0.8city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:43.8 yearsWhole city:33.1 years,Females:This neighborhood:41.6 yearsWhole city:35.7 years,"Hyperion Park:$67,708Des Moines:$49,203",Hyperion Park:$535Des Moines:$690,Males:41Females:42,Hyperion Park:9.7%city:18.9%,Hyperion Park:12.9%Des Moines:21.7%,Here:71.5%Des Moines:66.5%,Hyperion Park:25.0%Des Moines:20.3%,Hyperion Park:0.0%Des Moines:4.7%,Here:0.4%city:1.0%,Here:44.4%Des Moines:36.2%,Hyperion Park:80.7%Des Moines:69.8%,Hyperion Park:7.0%Des Moines:13.8%,Population: 84
Area: 1.513 square miles,Average household size:Indianola Hills:4.2 peopleDes Moines:2.5 people,Here:1.6city:1.3,This neighborhood:2.0Des Moines:2.0,Median age:Males:This neighborhood:36.5 yearsWhole city:33.1 years,Females:This neighborhood:36.0 yearsWhole city:35.7 years,"Indianola Hills:$49,036Des Moines:$49,203",Indianola Hills:$709Des Moines:$690,"Males:2,837Females:3,137",Indianola Hills:14.8%city:18.9%,Indianola Hills:13.3%Des Moines:21.7%,Here:77.2%Des Moines:66.5%,Indianola Hills:15.9%Des Moines:20.3%,Indianola Hills:1.5%Des Moines:4.7%,Here:0.5%city:1.0%,Here:40.6%Des Moines:36.2%,Indianola Hills:67.5%Des Moines:69.8%,Indianola Hills:12.3%Des Moines:13.8%,"Population: 5,974"
Area: 0.027 square miles,Average household size:Ingersoll Oaks:2.3 peopleDes Moines:2.5 people,Here:1.7city:1.3,This neighborhood:1.8Des Moines:2.0,Median age:Males:This neighborhood:42.0 yearsWhole city:33.1 years,Females:This neighborhood:46.7 yearsWhole city:35.7 years,"Ingersoll Oaks:$94,552Des Moines:$49,203",Ingersoll Oaks:$880Des Moines:$690,Males:89Females:91,Ingersoll Oaks:11.9%city:18.9%,Ingersoll Oaks:8.9%Des Moines:21.7%,Here:64.7%Des Moines:66.5%,Ingersoll Oaks:31.1%Des Moines:20.3%,Ingersoll Oaks:0.6%Des Moines:4.7%,Here:0.7%city:1.0%,Here:67.6%Des Moines:36.2%,Ingersoll Oaks:69.4%Des Moines:69.8%,Ingersoll Oaks:9.3%Des Moines:13.8%,Population: 181
Area: 0.176 square miles,Average household size:Ingersoll Park:2.3 peopleDes Moines:2.5 people,Here:1.3city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:41.2 yearsWhole city:33.1 years,Females:This neighborhood:40.4 yearsWhole city:35.7 years,"Ingersoll Park:$79,714Des Moines:$49,203",Ingersoll Park:$741Des Moines:$690,Males:314Females:483,Ingersoll Park:13.4%city:18.9%,Ingersoll Park:2.7%Des Moines:21.7%,Here:64.8%Des Moines:66.5%,Ingersoll Park:31.0%Des Moines:20.3%,Ingersoll Park:0.5%Des Moines:4.7%,Here:0.7%city:1.0%,Here:52.2%Des Moines:36.2%,Ingersoll Park:75.3%Des Moines:69.8%,Ingersoll Park:12.4%Des Moines:13.8%,Population: 797
Area: 0.028 square miles,Average household size:Ingle-Wold:14.0 peopleDes Moines:2.5 people,Here:2.0city:1.3,This neighborhood:2.0Des Moines:2.0,Median age:Males:This neighborhood:32.6 yearsWhole city:33.1 years,Females:This neighborhood:39.6 yearsWhole city:35.7 years,"Ingle-Wold:$50,029Des Moines:$49,203",Ingle-Wold:$638Des Moines:$690,Males:93Females:80,Ingle-Wold:17.3%city:18.9%,Ingle-Wold:27.9%Des Moines:21.7%,Here:51.2%Des Moines:66.5%,Ingle-Wold:21.1%Des Moines:20.3%,Ingle-Wold:12.8%Des Moines:4.7%,Here:0.0%city:1.0%,Here:52.5%Des Moines:36.2%,Ingle-Wold:53.0%Des Moines:69.8%,Ingle-Wold:7.4%Des Moines:13.8%,Population: 174
Area: 0.038 square miles,Average household size:Ingleside:4.3 peopleDes Moines:2.5 people,Here:2.0city:1.3,This neighborhood:3.0Des Moines:2.0,Median age:Males:This neighborhood:29.9 yearsWhole city:33.1 years,Females:This neighborhood:23.0 yearsWhole city:35.7 years,"Ingleside:$30,455Des Moines:$49,203",Ingleside:$550Des Moines:$690,Males:182Females:181,Ingleside:25.7%city:18.9%,Ingleside:19.0%Des Moines:21.7%,Here:51.0%Des Moines:66.5%,Ingleside:26.4%Des Moines:20.3%,Ingleside:17.9%Des Moines:4.7%,Here:2.2%city:1.0%,Here:39.1%Des Moines:36.2%,Ingleside:58.8%Des Moines:69.8%,Ingleside:5.9%Des Moines:13.8%,Population: 363
Area: 0.075 square miles,Average household size:Jefferson Heights:2.6 peopleDes Moines:2.5 people,Here:1.4city:1.3,This neighborhood:2.3Des Moines:2.0,Median age:Males:This neighborhood:28.2 yearsWhole city:33.1 years,Females:This neighborhood:31.7 yearsWhole city:35.7 years,"Jefferson Heights:$39,370Des Moines:$49,203",Jefferson Heights:$739Des Moines:$690,Males:163Females:198,Jefferson Heights:27.1%city:18.9%,Jefferson Heights:15.3%Des Moines:21.7%,Here:75.9%Des Moines:66.5%,Jefferson Heights:12.3%Des Moines:20.3%,Jefferson Heights:0.9%Des Moines:4.7%,Here:0.3%city:1.0%,Here:38.5%Des Moines:36.2%,Jefferson Heights:71.3%Des Moines:69.8%,Jefferson Heights:21.4%Des Moines:13.8%,Population: 362
Area: 0.015 square miles,,,,,,,,,,,,,,,,,,
Area: 0.027 square miles,Average household size:Johnson-Smith Heights:29.0 peopleDes Moines:2.5 people,Here:0.6city:1.3,This neighborhood:2.0Des Moines:2.0,Median age:Males:This neighborhood:29.8 yearsWhole city:33.1 years,Females:This neighborhood:49.6 yearsWhole city:35.7 years,"Johnson-Smith Heights:$41,402Des Moines:$49,203",Johnson-Smith Heights:$839Des Moines:$690,Males:83Females:88,Johnson-Smith Heights:17.1%city:18.9%,Johnson-Smith Heights:28.7%Des Moines:21.7%,Here:64.8%Des Moines:66.5%,Johnson-Smith Heights:18.6%Des Moines:20.3%,Johnson-Smith Heights:3.6%Des Moines:4.7%,Here:0.1%city:1.0%,Here:29.1%Des Moines:36.2%,Johnson-Smith Heights:73.1%Des Moines:69.8%,Johnson-Smith Heights:3.0%Des Moines:13.8%,Population: 172
Area: 0.011 square miles,Average household size:Jordan Glen:2.3 peopleWest Des Moines:2.3 people,Here:1.8city:1.4,This neighborhood:2.2West Des Moines:2.0,Median age:Males:This neighborhood:40.2 yearsWhole city:34.3 years,Females:This neighborhood:45.8 yearsWhole city:34.7 years,"Jordan Glen:$79,797West Des Moines:$70,906",Jordan Glen:$943West Des Moines:$843,Males:26Females:24,Jordan Glen:14.2%city:15.2%,Jordan Glen:16.5%West Des Moines:15.5%,Here:71.7%West Des Moines:64.2%,Jordan Glen:22.2%West Des Moines:24.4%,Jordan Glen:0.0%West Des Moines:1.8%,Here:0.9%city:0.8%,Here:53.6%West Des Moines:47.5%,Jordan Glen:68.5%West Des Moines:72.3%,Jordan Glen:9.8%West Des Moines:7.4%,Population: 50
Area: 0.196 square miles,Average household size:Jordan Grove:2.3 peopleWest Des Moines:2.3 people,Here:1.8city:1.4,This neighborhood:2.2West Des Moines:2.0,Median age:Males:This neighborhood:40.2 yearsWhole city:34.3 years,Females:This neighborhood:45.8 yearsWhole city:34.7 years,"Jordan Grove:$79,797West Des Moines:$70,906",Jordan Grove:$943West Des Moines:$843,Males:463Females:428,Jordan Grove:14.2%city:15.2%,Jordan Grove:16.5%West Des Moines:15.5%,Here:71.7%West Des Moines:64.2%,Jordan Grove:22.2%West Des Moines:24.4%,Jordan Grove:0.0%West Des Moines:1.8%,Here:0.9%city:0.8%,Here:53.6%West Des Moines:47.5%,Jordan Grove:68.5%West Des Moines:72.3%,Jordan Grove:9.8%West Des Moines:7.4%,Population: 891
Area: 0.016 square miles,Average household size:Jordan Manor:2.4 peopleDes Moines:2.5 people,Here:1.1city:1.3,This neighborhood:1.8Des Moines:2.0,Median age:Males:This neighborhood:28.9 yearsWhole city:33.1 years,Females:This neighborhood:42.7 yearsWhole city:35.7 years,"Jordan Manor:$26,350Des Moines:$49,203",Jordan Manor:$641Des Moines:$690,Males:26Females:43,Jordan Manor:23.6%city:18.9%,Jordan Manor:15.2%Des Moines:21.7%,Here:67.9%Des Moines:66.5%,Jordan Manor:22.3%Des Moines:20.3%,Jordan Manor:2.9%Des Moines:4.7%,Here:0.1%city:1.0%,Here:18.0%Des Moines:36.2%,Jordan Manor:80.8%Des Moines:69.8%,Jordan Manor:26.8%Des Moines:13.8%,Population: 70
Area: 0.162 square miles,,,,,,,,,,,,,,,,,,
Area: 0.026 square miles,Average household size:Jordan Pointe:2.3 peopleWest Des Moines:2.3 people,Here:1.8city:1.4,This neighborhood:2.2West Des Moines:2.0,Median age:Males:This neighborhood:40.2 yearsWhole city:34.3 years,Females:This neighborhood:45.8 yearsWhole city:34.7 years,"Jordan Pointe:$79,797West Des Moines:$70,906",Jordan Pointe:$943West Des Moines:$843,Males:60Females:56,Jordan Pointe:14.2%city:15.2%,Jordan Pointe:16.5%West Des Moines:15.5%,Here:71.7%West Des Moines:64.2%,Jordan Pointe:22.2%West Des Moines:24.4%,Jordan Pointe:0.0%West Des Moines:1.8%,Here:0.9%city:0.8%,Here:53.6%West Des Moines:47.5%,Jordan Pointe:68.5%West Des Moines:72.3%,Jordan Pointe:9.8%West Des Moines:7.4%,Population: 116
Area: 0.015 square miles,Average household size:Joy Heights:2.3 peopleDes Moines:2.5 people,Here:1.8city:1.3,This neighborhood:2.2Des Moines:2.0,Median age:Males:This neighborhood:45.6 yearsWhole city:33.1 years,Females:This neighborhood:47.8 yearsWhole city:35.7 years,"Joy Heights:$55,875Des Moines:$49,203",Joy Heights:$715Des Moines:$690,Males:27Females:23,Joy Heights:8.3%city:18.9%,Joy Heights:24.5%Des Moines:21.7%,Here:73.9%Des Moines:66.5%,Joy Heights:20.7%Des Moines:20.3%,Joy Heights:2.2%Des Moines:4.7%,Here:0.5%city:1.0%,Here:36.2%Des Moines:36.2%,Joy Heights:64.4%Des Moines:69.8%,Joy Heights:11.6%Des Moines:13.8%,Population: 51
Area: 0.023 square miles,Average household size:Kemming Acres:2.7 peopleDes Moines:2.5 people,Here:1.8city:1.3,This neighborhood:2.0Des Moines:2.0,Median age:Males:This neighborhood:34.3 yearsWhole city:33.1 years,Females:This neighborhood:38.8 yearsWhole city:35.7 years,"Kemming Acres:$67,763Des Moines:$49,203",Kemming Acres:$839Des Moines:$690,Males:35Females:37,Kemming Acres:16.5%city:18.9%,Kemming Acres:3.1%Des Moines:21.7%,Here:68.2%Des Moines:66.5%,Kemming Acres:24.5%Des Moines:20.3%,Kemming Acres:1.5%Des Moines:4.7%,Here:1.2%city:1.0%,Here:59.2%Des Moines:36.2%,Kemming Acres:56.2%Des Moines:69.8%,Kemming Acres:1.3%Des Moines:13.8%,Population: 73
Area: 0.023 square miles,Average household size:Kendallwood:2.2 peopleDes Moines:2.5 people,Here:1.1city:1.3,This neighborhood:2.4Des Moines:2.0,Median age:Males:This neighborhood:25.0 yearsWhole city:33.1 years,Females:This neighborhood:31.3 yearsWhole city:35.7 years,"Kendallwood:$38,555Des Moines:$49,203",Kendallwood:$786Des Moines:$690,Males:4Females:7,Kendallwood:30.6%city:18.9%,Kendallwood:23.7%Des Moines:21.7%,Here:61.6%Des Moines:66.5%,Kendallwood:22.1%Des Moines:20.3%,Kendallwood:0.0%Des Moines:4.7%,Here:0.0%city:1.0%,Here:27.9%Des Moines:36.2%,Kendallwood:52.1%Des Moines:69.8%,Kendallwood:32.4%Des Moines:13.8%,Population: 11
Area: 0.011 square miles,Average household size:Kenmore:2.2 peopleDes Moines:2.5 people,Here:0.8city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:43.8 yearsWhole city:33.1 years,Females:This neighborhood:41.6 yearsWhole city:35.7 years,"Kenmore:$67,708Des Moines:$49,203",Kenmore:$535Des Moines:$690,Males:13Females:13,Kenmore:9.7%city:18.9%,Kenmore:12.9%Des Moines:21.7%,Here:71.5%Des Moines:66.5%,Kenmore:25.0%Des Moines:20.3%,Kenmore:0.0%Des Moines:4.7%,Here:0.4%city:1.0%,Here:44.4%Des Moines:36.2%,Kenmore:80.7%Des Moines:69.8%,Kenmore:6.9%Des Moines:13.8%,Population: 27
Area: 0.112 square miles,Average household size:Kimble Acres:4.7 peopleDes Moines:2.5 people,Here:22.3city:1.3,This neighborhood:3.9Des Moines:2.0,Median age:Males:This neighborhood:42.8 yearsWhole city:33.1 years,Females:This neighborhood:40.1 yearsWhole city:35.7 years,"Kimble Acres:$74,406Des Moines:$49,203",Kimble Acres:$684Des Moines:$690,Males:85Females:108,Kimble Acres:16.5%city:18.9%,Kimble Acres:8.9%Des Moines:21.7%,Here:63.2%Des Moines:66.5%,Kimble Acres:23.5%Des Moines:20.3%,Kimble Acres:10.4%Des Moines:4.7%,Here:0.6%city:1.0%,Here:56.1%Des Moines:36.2%,Kimble Acres:59.0%Des Moines:69.8%,Kimble Acres:26.2%Des Moines:13.8%,Population: 193
Area: 0.392 square miles,Average household size:King-irving Park:5.1 peopleDes Moines:2.5 people,Here:1.2city:1.3,This neighborhood:1.7Des Moines:2.0,Median age:Males:This neighborhood:30.1 yearsWhole city:33.1 years,Females:This neighborhood:28.9 yearsWhole city:35.7 years,"King-irving Park:$32,254Des Moines:$49,203",King-irving Park:$623Des Moines:$690,"Males:1,201Females:1,407",King-irving Park:21.4%city:18.9%,King-irving Park:19.7%Des Moines:21.7%,Here:56.2%Des Moines:66.5%,King-irving Park:21.7%Des Moines:20.3%,King-irving Park:6.6%Des Moines:4.7%,Here:0.6%city:1.0%,Here:33.6%Des Moines:36.2%,King-irving Park:58.6%Des Moines:69.8%,King-irving Park:14.9%Des Moines:13.8%,"Population: 2,608"
Area: 0.260 square miles,Average household size:Kingman Acres:1.8 peopleDes Moines:2.5 people,Here:1.2city:1.3,This neighborhood:1.6Des Moines:2.0,Median age:Males:This neighborhood:47.9 yearsWhole city:33.1 years,Females:This neighborhood:31.9 yearsWhole city:35.7 years,"Kingman Acres:$59,661Des Moines:$49,203",Kingman Acres:$672Des Moines:$690,Males:441Females:552,Kingman Acres:22.2%city:18.9%,Kingman Acres:14.8%Des Moines:21.7%,Here:64.8%Des Moines:66.5%,Kingman Acres:19.4%Des Moines:20.3%,,Here:0.7%city:1.0%,Here:35.7%Des Moines:36.2%,Kingman Acres:71.5%Des Moines:69.8%,Kingman Acres:27.9%Des Moines:13.8%,Population: 993
Area: 0.020 square miles,Average household size:Kingman Highlands:2.6 peopleDes Moines:2.5 people,Here:1.2city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:32.3 yearsWhole city:33.1 years,Females:This neighborhood:32.5 yearsWhole city:35.7 years,"Kingman Highlands:$46,462Des Moines:$49,203",Kingman Highlands:$731Des Moines:$690,Males:54Females:53,Kingman Highlands:16.5%city:18.9%,Kingman Highlands:15.7%Des Moines:21.7%,Here:64.8%Des Moines:66.5%,Kingman Highlands:19.4%Des Moines:20.3%,Kingman Highlands:4.1%Des Moines:4.7%,Here:0.7%city:1.0%,Here:39.8%Des Moines:36.2%,Kingman Highlands:73.3%Des Moines:69.8%,Kingman Highlands:13.9%Des Moines:13.8%,Population: 107
Area: 0.064 square miles,Average household size:Kingman Place:2.3 peopleDes Moines:2.5 people,Here:1.4city:1.3,This neighborhood:1.5Des Moines:2.0,Median age:Males:This neighborhood:22.4 yearsWhole city:33.1 years,Females:This neighborhood:26.1 yearsWhole city:35.7 years,"Kingman Place:$22,974Des Moines:$49,203",Kingman Place:$535Des Moines:$690,Males:325Females:299,Kingman Place:30.3%city:18.9%,Kingman Place:33.1%Des Moines:21.7%,Here:52.0%Des Moines:66.5%,Kingman Place:35.1%Des Moines:20.3%,Kingman Place:10.1%Des Moines:4.7%,Here:3.1%city:1.0%,Here:11.1%Des Moines:36.2%,Kingman Place:83.9%Des Moines:69.8%,Kingman Place:8.6%Des Moines:13.8%,Population: 625
Area: 0.040 square miles,Average household size:Kingman Place Historic District:2.3 peopleDes Moines:2.5 people,Here:1.4city:1.3,This neighborhood:1.6Des Moines:2.0,Median age:Males:This neighborhood:27.1 yearsWhole city:33.1 years,Females:This neighborhood:27.8 yearsWhole city:35.7 years,"Kingman Place Historic District:$29,257Des Moines:$49,203",Kingman Place Historic District:$542Des Moines:$690,Males:196Females:184,Kingman Place Historic District:29.5%city:18.9%,Kingman Place Historic District:32.0%Des Moines:21.7%,Here:50.7%Des Moines:66.5%,Kingman Place Historic District:33.0%Des Moines:20.3%,Kingman Place Historic District:10.9%Des Moines:4.7%,Here:2.8%city:1.0%,Here:13.7%Des Moines:36.2%,Kingman Place Historic District:83.8%Des Moines:69.8%,Kingman Place Historic District:11.7%Des Moines:13.8%,Population: 381
Area: 0.032 square miles,Average household size:Kingsdale:2.0 peopleDes Moines:2.5 people,Here:1.1city:1.3,This neighborhood:1.8Des Moines:2.0,Median age:Males:This neighborhood:35.7 yearsWhole city:33.1 years,Females:This neighborhood:42.6 yearsWhole city:35.7 years,"Kingsdale:$83,438Des Moines:$49,203",Kingsdale:$919Des Moines:$690,Males:53Females:58,Kingsdale:20.5%city:18.9%,Kingsdale:19.0%Des Moines:21.7%,Here:60.8%Des Moines:66.5%,Kingsdale:28.2%Des Moines:20.3%,Kingsdale:1.8%Des Moines:4.7%,Here:1.3%city:1.0%,Here:38.8%Des Moines:36.2%,Kingsdale:80.0%Des Moines:69.8%,Kingsdale:10.4%Des Moines:13.8%,Population: 112
Area: 0.074 square miles,Average household size:Kirkwood Glen:2.4 peopleDes Moines:2.5 people,Here:0.9city:1.3,This neighborhood:2.0Des Moines:2.0,Median age:Males:This neighborhood:21.2 yearsWhole city:33.1 years,Females:This neighborhood:20.1 yearsWhole city:35.7 years,"Kirkwood Glen:$20,852Des Moines:$49,203",Kirkwood Glen:$541Des Moines:$690,Males:338Females:319,Kirkwood Glen:25.8%city:18.9%,Kirkwood Glen:27.3%Des Moines:21.7%,Here:51.0%Des Moines:66.5%,Kirkwood Glen:26.4%Des Moines:20.3%,Kirkwood Glen:100.0%Des Moines:4.7%,Here:2.2%city:1.0%,Here:9.5%Des Moines:36.2%,Kirkwood Glen:80.4%Des Moines:69.8%,Kirkwood Glen:33.3%Des Moines:13.8%,Population: 658
Area: 0.018 square miles,Average household size:Kirkwood Heights:2.2 peopleDes Moines:2.5 people,Here:1.4city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:36.8 yearsWhole city:33.1 years,Females:This neighborhood:51.0 yearsWhole city:35.7 years,"Kirkwood Heights:$61,474Des Moines:$49,203",Kirkwood Heights:$740Des Moines:$690,Males:12Females:10,Kirkwood Heights:7.8%city:18.9%,Kirkwood Heights:16.3%Des Moines:21.7%,Here:69.5%Des Moines:66.5%,Kirkwood Heights:26.8%Des Moines:20.3%,Kirkwood Heights:4.5%Des Moines:4.7%,Here:0.3%city:1.0%,Here:49.5%Des Moines:36.2%,Kirkwood Heights:65.2%Des Moines:69.8%,Kirkwood Heights:2.4%Des Moines:13.8%,Population: 23
Area: 0.012 square miles,Average household size:Knollwood:2.1 peopleDes Moines:2.5 people,Here:0.8city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:48.4 yearsWhole city:33.1 years,Females:This neighborhood:56.8 yearsWhole city:35.7 years,"Knollwood:$102,417Des Moines:$49,203",Knollwood:$781Des Moines:$690,Males:17Females:19,Knollwood:5.8%city:18.9%,Knollwood:4.0%Des Moines:21.7%,Here:55.8%Des Moines:66.5%,Knollwood:36.5%Des Moines:20.3%,Knollwood:0.0%Des Moines:4.7%,Here:0.0%city:1.0%,Here:57.6%Des Moines:36.2%,Knollwood:63.0%Des Moines:69.8%,Knollwood:1.9%Des Moines:13.8%,Population: 36
Area: 0.016 square miles,Average household size:Lafayette Square:2.2 peopleDes Moines:2.5 people,Here:0.8city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:43.8 yearsWhole city:33.1 years,Females:This neighborhood:41.6 yearsWhole city:35.7 years,"Lafayette Square:$67,708Des Moines:$49,203",Lafayette Square:$535Des Moines:$690,Males:19Females:20,Lafayette Square:9.7%city:18.9%,Lafayette Square:12.9%Des Moines:21.7%,Here:71.5%Des Moines:66.5%,Lafayette Square:25.0%Des Moines:20.3%,Lafayette Square:0.0%Des Moines:4.7%,Here:0.4%city:1.0%,Here:44.4%Des Moines:36.2%,Lafayette Square:80.7%Des Moines:69.8%,Lafayette Square:7.0%Des Moines:13.8%,Population: 40
Area: 0.145 square miles,Average household size:Lake Park:3.5 peopleDes Moines:2.5 people,Here:2.5city:1.3,This neighborhood:2.1Des Moines:2.0,Median age:Males:This neighborhood:26.9 yearsWhole city:33.1 years,Females:This neighborhood:39.3 yearsWhole city:35.7 years,"Lake Park:$47,759Des Moines:$49,203",Lake Park:$818Des Moines:$690,Males:716Females:737,Lake Park:15.0%city:18.9%,Lake Park:15.7%Des Moines:21.7%,Here:68.0%Des Moines:66.5%,Lake Park:17.1%Des Moines:20.3%,Lake Park:16.0%Des Moines:4.7%,Here:0.5%city:1.0%,Here:48.0%Des Moines:36.2%,Lake Park:61.6%Des Moines:69.8%,Lake Park:15.7%Des Moines:13.8%,"Population: 1,453"
Area: 1.078 square miles,Average household size:Laurel Hill:3.0 peopleDes Moines:2.5 people,Here:1.6city:1.3,This neighborhood:2.2Des Moines:2.0,Median age:Males:This neighborhood:34.7 yearsWhole city:33.1 years,Females:This neighborhood:40.0 yearsWhole city:35.7 years,"Laurel Hill:$57,725Des Moines:$49,203",Laurel Hill:$644Des Moines:$690,Males:166Females:162,Laurel Hill:13.0%city:18.9%,Laurel Hill:15.6%Des Moines:21.7%,Here:77.1%Des Moines:66.5%,Laurel Hill:13.1%Des Moines:20.3%,Laurel Hill:1.3%Des Moines:4.7%,Here:0.5%city:1.0%,Here:38.9%Des Moines:36.2%,Laurel Hill:71.8%Des Moines:69.8%,Laurel Hill:20.9%Des Moines:13.8%,Population: 329
Area: 0.059 square miles,Average household size:Lawn Arbor:2.1 peopleDes Moines:2.5 people,Here:0.9city:1.3,This neighborhood:1.9Des Moines:2.0,Median age:Males:This neighborhood:38.7 yearsWhole city:33.1 years,Females:This neighborhood:39.4 yearsWhole city:35.7 years,"Lawn Arbor:$44,179Des Moines:$49,203",Lawn Arbor:$628Des Moines:$690,Males:120Females:153,Lawn Arbor:16.4%city:18.9%,Lawn Arbor:11.4%Des Moines:21.7%,Here:81.3%Des Moines:66.5%,Lawn Arbor:13.6%Des Moines:20.3%,Lawn Arbor:0.0%Des Moines:4.7%,Here:0.0%city:1.0%,Here:40.0%Des Moines:36.2%,Lawn Arbor:75.3%Des Moines:69.8%,Lawn Arbor:15.8%Des Moines:13.8%,Population: 273
